INTERSECTION_ID,COUNTY,INTERSECTION_GEO,RELATION_TO_CURVE,DIST_TO_CURVE,DIST_TO_INT,INTERSECTION_TYPE,INTERSECTION_SHAPE,INTERSECTION_LEG,INTERSECTION_ANGLE,MAJ_AADT_2015RCI,MIN_AADT_2015RCI,MAX_FUNCLASS,MIN_FUNCLASS,MAX_SPEEDCAT,MIN_SPEEDCAT,MAX_LANECAT,MIN_LANECAT,IF_INTERSECT_ONSYSRD,CRASH_HE_SE,CRASH_HE_SE_TYPE_ANGLE
433555,LAFAYETTE,1,no relation,0,798.426176,3wayT,T,3,90,600,600,5,4,5,3,1,1,N,0,0
433579,HENDRY,1,no relation,0,82.158782,3wayT,T,3,90,1650,1650,5,5,6,5,1,1,N,0,0
433581,JACKSON,1,no relation,0,221.349617,3wayY,Y,3,61.6,2700,2700,5,4,5,4,1,1,N,0,0
433582,TAYLOR,1,no relation,0,131.54525,4wayCross,Cross,4,90,1300,1300,5,4,6,5,1,1,N,1,0
433598,MADISON,1,no relation,0,113.264061,3wayY,Y,3,62.7,900,900,5,5,5,5,1,1,N,0,0
433602,WASHINGTON,1,no relation,0,110.056269,3wayY,Y,3,82.8,5800,1600,5,4,6,5,1,1,N,0,0
433613,WASHINGTON,1,no relation,0,140.921375,3wayT,T,3,90,2200,2200,5,5,5,5,1,1,N,0,0
433614,WASHINGTON,1,no relation,0,74.650881,4wayCross,Cross,4,90,3300,3300,5,5,6,5,1,1,N,0,0
433650,HARDEE,1,no relation,0,82.783159,4wayX,X,4,80.8,14500,400,5,2,5,5,3,1,Y,0,0
433651,HARDEE,1,no relation,0,91.578494,3wayY,Y,3,81.4,400,400,5,4,6,5,1,1,N,0,0
433652,HARDEE,1,no relation,0,101.425646,3wayY,Y,3,82.4,400,400,5,4,6,5,1,1,N,0,0
433656,HOLMES,1,no relation,0,72.686965,3wayT,T,3,90,1900,1900,5,5,6,5,1,1,N,0,0
433657,HOLMES,1,no relation,0,108.086367,4wayX,X,4,84.5,2600,2600,5,4,6,6,1,1,N,0,0
433670,HARDEE,1,no relation,0,87.652862,4wayCross,Cross,4,90,500,500,5,4,6,3,1,1,N,1,0
433685,TAYLOR,1,no relation,0,55.837219,3wayT,T,3,90,1100,650,5,4,6,6,1,1,N,0,0
433700,JACKSON,1,no relation,0,74.32647,3wayY,Y,3,50.3,2300,2300,5,4,6,4,1,1,N,0,0
433701,JACKSON,1,no relation,0,46.879738,3wayT,T,3,90,6300,1300,5,3,5,3,1,1,Y,0,0
